epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,3292.15,1.63482,1.30388,0.00162,0.55662,0.46357,0.47952,0.29698,1.55907,1.34067,0.00244,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3589.76,1.62749,1.30445,0.00162,0.56282,0.46332,0.4826,0.29944,1.56096,1.32895,0.00244,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3884.49,1.61904,1.29319,0.00162,0.55492,0.46679,0.48305,0.30076,1.55578,1.33559,0.00243,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4182,1.61978,1.29064,0.0016,0.55417,0.46834,0.48307,0.30064,1.5575,1.33494,0.00243,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4474.56,1.6224,1.28704,0.00161,0.56127,0.46783,0.4856,0.30135,1.56343,1.33097,0.00244,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4763,1.60978,1.27242,0.00162,0.57107,0.46541,0.48432,0.3002,1.56046,1.33336,0.00244,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5058.93,1.62046,1.28153,0.00159,0.56094,0.46711,0.48265,0.29934,1.55951,1.32848,0.00244,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5350.62,1.61744,1.2804,0.0016,0.55834,0.4672,0.48382,0.2998,1.55724,1.33754,0.00244,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5642.41,1.61016,1.26809,0.0016,0.55603,0.4703,0.48432,0.30028,1.55973,1.32862,0.00244,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5933.4,1.60729,1.26338,0.00161,0.56346,0.46845,0.48623,0.30181,1.55843,1.32773,0.00244,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6223.6,1.61023,1.26496,0.00159,0.57261,0.4616,0.48709,0.3013,1.55923,1.3277,0.00244,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6513.83,1.60243,1.25422,0.00159,0.56498,0.46525,0.48522,0.29999,1.56158,1.32921,0.00244,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6808.03,1.60274,1.2555,0.00159,0.56299,0.46782,0.48667,0.30173,1.55855,1.32679,0.00243,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7099.13,1.6015,1.24746,0.00158,0.56061,0.46832,0.48571,0.30039,1.56286,1.32644,0.00244,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7389.71,1.595,1.24361,0.00158,0.56925,0.46426,0.48482,0.30057,1.56305,1.32247,0.00244,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7684.51,1.60303,1.25102,0.00159,0.55751,0.46829,0.48458,0.30076,1.56135,1.32487,0.00243,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7979.69,1.60599,1.24856,0.00157,0.55888,0.46606,0.48393,0.30063,1.55985,1.32656,0.00243,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8272.53,1.59535,1.23595,0.00158,0.56726,0.4655,0.48569,0.30075,1.56111,1.32708,0.00244,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8568.12,1.59044,1.23403,0.00157,0.57086,0.46494,0.48787,0.30202,1.55769,1.32311,0.00244,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8862.57,1.60372,1.24311,0.00156,0.57001,0.4622,0.48525,0.30113,1.55943,1.32449,0.00243,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9158.73,1.58535,1.23104,0.00157,0.55877,0.47077,0.48621,0.30209,1.55941,1.32525,0.00243,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9456.59,1.59302,1.2325,0.00156,0.55731,0.46606,0.48595,0.30191,1.55862,1.3234,0.00244,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
